poultry_establishment_id,full_establishment_id,name,address,city,state,zip,grant_date,activities,dba,district,circuit,establishment_size,processed_volume_category,slaughter_volume_category,active
P1209,P1209,Whitewater Processing,10964 Campbell Rd,Harrison,OH,45030,2002-06-12 00:00:00 UTC,"Poultry Processing, Poultry Slaughter","",50,5022,Small,3,4,true
P1234,M1234 + P1234,Mountaire Farms,1101 East Third Street,Siler City,NC,27344,,"Meat Processing, Poultry Processing, Poultry Slaughter",Mountaire Farms of North Carolina Corp.,80,8010,Large,5,5,true
P1235,P1235,Wayne Farms,254 Ipsco Road,Decatur,AL,35601,,"Poultry Processing, Poultry Slaughter",Dutch Quality; Wayne Farms,90,9010,Large,5,5,true
P1241,P1241,Tyson Foods,545 Valley Road,Corydon,IN,47112,2019-03-12 00:00:00 UTC,"Poultry Processing, Poultry Slaughter","TSD Sales and Distribution, Inc.; Tyson Chicken, Inc.",50,5031,Small,5,5,true
P1243,P1243,Perdue Foods,416 S. Long Drive,Rockingham,NC,28379,2021-01-01 00:00:00 UTC,"Poultry Processing, Poultry Slaughter",Carolina Fare; Cookin Good; Greenwise; Harvestland; Nature's Promise; Open Nature; Perdue; Shenandoah ; Shoreline ; Sprout's; Trader Joe's,80,8003,Large,5,5,true
P1249,P1249,George's Chicken,19992 Senedo Rd.,Edinburg,VA,22824,,"Poultry Processing, Poultry Slaughter","",80,8014,Large,5,5,true
P1250,P1250,Fieldale Farms,2115 Industrial Blvd.,Cornelia,GA,30531,2015-11-02 00:00:00 UTC,"Poultry Processing, Poultry Slaughter",Springer Mountain Farms,85,8503,Large,5,5,true
P1254,P1254 + V1254,Koch Foods,515 Tyson Rd,Ashland,AL,36251,,"Certification - Export, Poultry Processing, Poultry Slaughter","",90,9001,Small,5,5,true
P1257,P1257,Fieldale Farms,5163 Thompson Bridge Road,Murrayville,GA,30564,,"Poultry Processing, Poultry Slaughter",Springer Mountain Farms,85,8513,Large,4,5,true
P12650,M12650 + P12650,Fieldale Farms,1540 Monroe Drive,Gainesville,GA,30507,,"Meat Processing, Poultry Processing",Springer Mountain Farms,85,8513,Large,5,,true
P1272,P1272,Pilgrim's Pride,113 McNeil Drive,Douglas,GA,31533,,"Poultry Processing, Poultry Slaughter","",85,8509,Large,5,5,true
P1284,P1284,Pilgrim's Pride,654 Univeter Road,Canton,GA,30115,,"Poultry Processing, Poultry Slaughter","",85,8507,Large,5,5,true
P1294,P1294 + V1294,Holmes Foods,101 South Liberty Avenue,Nixon,TX,78140,,"Certification - Export, Poultry Processing, Poultry Slaughter","",40,4030,Small,5,5,true
P1304,P1304,Farmers Pride,154 W. Main Street,Fredericksburg,PA,17026,,"Poultry Processing, Poultry Slaughter",Bell & Evans,60,6023,Large,5,5,true
P1304A,P1304A,Farmers Pride,2929 US Route 22,Fredericksburg,PA,17026,,Poultry Processing,Bell & Evans,60,6023,Large,4,,true
P1305,M1305 + P1305 + V1305,Holly Poultry,2121 Wicomico Street,Baltimore,MD,21230,2018-04-12 00:00:00 UTC,"Certification - Export, Meat Processing, Poultry Processing","",80,8014,Small,4,,true
P1307,P1307,Mar-Jac Poultry-AL,3301 3rd Avenue,Jasper,AL,35501,,"Poultry Processing, Poultry Slaughter",Mar-Jac Poultry - AL,90,9001,Large,5,5,true
P1309,P1309,House of Raeford Farms,1354 Rutherford Rd.,Greenville,SC,29609,2015-01-04 00:00:00 UTC,"Poultry Processing, Poultry Slaughter","",85,8521,Large,5,5,true
P1315,P1315,Tyson Foods,800 County Road,Monett,MO,65708,2021-06-08 00:00:00 UTC,"Poultry Processing, Poultry Slaughter","Tyson Poultry, Inc.",35,3502,Large,5,5,true
P1317,P1317 + V1317,Wayne Farms,700 McDonald Avenue,Albertville,AL,35950,,"Poultry Processing, Poultry Slaughter, Voluntary Processing - Poultry, Voluntary Slaughter - Poultry","",90,9012,Large,5,5,true
P1318,P1318,Perdue Foods,255 N. Rehoboth Blvd.,Milford,DE,19963,,"Poultry Processing, Poultry Slaughter",Coleman Natural Foods,80,8004,Large,5,5,true
P13199,M13199 + P13199,Chorizo de San Manuel,36080 North Highway 281,Edinburg,TX,78542,,"Meat Processing, Poultry Processing",Valley Institutional Foods Co. (VIFCO),40,4031,Small,3,,false
P1325,M9977 + P1325,Tyson Foods,403 S. Custer Avenue,New Holland,PA,17557,,"Meat Processing, Poultry Processing, Poultry Slaughter","Hudson Foods, Inc.; TSD Sales and Distribution; Tyson Poultry, Inc.; Victor F. Weaver Co.",60,6023,Large,5,5,true
P13369,P13369 + V13369,George's Processing,9066 State Hwy W,Cassville,MO,65625,,"Poultry Processing, Poultry Slaughter","",35,3502,Large,5,5,true
P134,M7559 + P134,David Elliot Poultry Farm,300 Breck Street,Scranton,PA,18505,2020-05-02 00:00:00 UTC,"Meat Processing, Poultry Processing, Poultry Slaughter",Kee-Tov,60,6014,Small,4,4,true
P13432,M13432 + P13432,Martin Preferred Foods,2002 White Street,Houston,TX,77007,2020-06-04 00:00:00 UTC,"Meat Processing, Poultry Processing","",40,4026,Small,3,,true
P13432A,M13432A + P13432A,Martin Preferred Foods,2017 White Street,Houston,TX,77007,,Poultry Processing,"",40,4026,Small,4,,true
P13456,M13456 + P13456 + V13456,Tyson Foods,5505 Jefferson Parkway,Pine Bluff,AR,71602,,"Certification - Export, Meat Processing, Poultry Processing, Poultry Slaughter","Arkie Chicken; Brennan Packing, Inc.; Carroll County; Cavanaugh Lakeview Farms; Choctaw Maid; Colonia; Delightful Farms; Delta Valley; Eastwood Foods; Gold Leaf; Greenwich; Holly Farms; Howard County; Hudson Foods, Inc.; Janet Davis; Lady Aster (Food Service); McCarty Foods; Ole Carolina Brand & Design; Patti Jean; Prospect Farms; Spare Time; Tyson; Victor F. Weaver Co.; Washington Creamery",35,3520,Large,5,5,true
P13484,M13484 + P13484,Direct Source Meats,4424 Dividend Dr,San Antonio,TX,78219,,"Meat Processing, Poultry Processing","",40,4040,Small,3,,true
P1353,P1353,Pilgrim's Pride,1591 Broad Street,Chattanooga,TN,37408,,"Poultry Processing, Poultry Slaughter",Country Pride; Rockingham; To-Ricos,90,9027,Small,5,5,true
P13530,M13530 + P13530,Tian Tian Food Service,1515 Hebert Street,Houston,TX,77012,2005-12-12 00:00:00 UTC,"Meat Processing, Poultry Processing","",40,4032,Very Small,3,,true
P13556,M13556 + P13556,Tyson Foods,19571 Whitfield Road,Sedalia,MO,65301,,"Meat Processing, Poultry Processing, Poultry Slaughter","Prospect Farms; TSD Sales and Distribution; Tyson Poultry, Inc.",35,3508,Large,5,5,true
P13564,M13564 + P13564,Rath,908 E. Apache Trail Rd.,Apache,OK,73006,,"Meat Processing, Poultry Processing","",40,4043,Very Small,2,,true
P13584,P13584 + V13584,George's Processing,701 Porter Avenue,Springdale,AR,72764,,"Certification - Export, Poultry Processing","",35,3512,Large,5,,true
P13590,M13590 + P13590,Southwest Processor,12714 Royal Drive,Stafford,TX,77477,,"Meat Processing, Poultry Processing",KOT Corp.,40,4032,Very Small,4,,true
P13598,M13598 + P13598,Golden Duck Meat & Poultry,2619 Texas,Houston,TX,77003,,"Meat Processing, Poultry Processing","",40,4026,Very Small,2,,true
P1362,P1362,Tyson Foods,One Tyson Avenue,Noel,MO,64854,2018-02-10 00:00:00 UTC,"Poultry Processing, Poultry Slaughter","Delightful Farms; Gold Leaf; Hudson; Tyson Chicken, Inc.",35,3518,Large,5,5,true
P1392,M1392 + P1392,Dudley Poultry Company,910  Route 245,Middlesex,NY,14507,2018-05-04 00:00:00 UTC,"Meat Processing, Poultry Processing",Finger Lakes Brand,60,6028,Small,4,,true
P146,P146,Tyson Foods,13264 Mountain Road,Glen Allen,VA,23059,,"Poultry Processing, Poultry Slaughter","Tyson Farms, Inc.; Tyson Foods,Inc",80,8019,Large,5,5,true
P1480,P1480,Tip Top Poultry,327 Wallace Rd.,Marietta,GA,30065,,"Poultry Processing, Poultry Slaughter","",85,8507,Large,4,5,true
P1525,P1525,Samuel Holmes,56 Garden Street,Everett,MA,02149,2021-10-06 00:00:00 UTC,Poultry Processing,N.B.P. (New Boston Poultry),60,6008,Small,3,,true
P1542,M1542 + P1542,Isernio's Sausage,8222 South 228th Street,Kent,WA,98032,,"Meat Processing, Poultry Processing",Fletcher's Fine Foods,15,1526,Small,3,,true
P157,M18909 + P157,Foster Farms,500 F Street,Turlock,CA,95380,,"Poultry Processing, Poultry Slaughter",Costal Range; Fircrest; Sierra Farms; Sunland; Valbest Farms; Valchris Farms,5,508,Large,5,4,true
P15724,P15724,Case Farms Processing,1818 County Road 160,Winesburg,OH,44690,,"Poultry Processing, Poultry Slaughter","",50,5011,Small,4,5,true
P15735,M15735 + P15735 + V15735,Fulton Troika,4501 W. Ann Lurie Place,Chicago,IL,60632,,"Meat Processing, Poultry Processing, Voluntary Processing - Exotic, Voluntary Processing - Meat",Fulton Market; Sam's Meat Co.,50,5002,Small,3,,true
P15805,M15805 + P15805 + V15805,J&B Wholesale Distributing,13200 43rd St. NE,St Michael,MN,55376,2021-01-04 00:00:00 UTC,"Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Meat Processing, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat, Off-Premise Freez","J&B Group; J&B Group, Inc.; J&B Wholesale Distributing Inc.",25,2504,Small,4,,true
P15841,M15841 + P15841,DiRusso's Sausage,1035 Rayen Ave,Youngstown,OH,44502,1993-06-07 00:00:00 UTC,"Meat Processing, Poultry Processing","",50,5021,Very Small,3,,true
P164,P164,Tyson Foods,1225 Jack Lee Drive,Forest,MS,39074,,"Poultry Processing, Poultry Slaughter",Choctaw Maid Farms; Tyson Foods Inc,90,9024,Large,5,5,true
P165H,P165H,OK Foods,200 Industrial Road,Heavener,OK,74937,,"Poultry Processing, Poultry Slaughter","",40,4043,Large,5,5,true
P165M,P165M + V165M,OK Foods,100 Wilson Rock Road North,Muldrow,OK,74948,,"Certification - Export, Poultry Processing",Spring River Farms; Tenderbird,35,3505,Small,5,,true
P165S,P165S + V165S,OK Foods,3921 Reed Lane,Fort Smith,AR,72904,,"Certification - Export, Poultry Processing, Poultry Slaughter","",35,3505,Large,5,5,true
P170,P170,Wayne Farms,977 Wayne Poultry Road,Pendergrass,GA,30567,,"Poultry Processing, Poultry Slaughter","",85,8517,Large,5,5,true
P17065,M426 + P17065,King Meat Service,4215 Exchange Ave.,Vernon,CA,90058,2020-05-11 00:00:00 UTC,"Meat Processing, Poultry Processing","",5,503,Small,3,,true
P17124,M17124 + P17124,Prison Industry Authority/Mule Creek State Prison,4001 Hwy 104,Ione,CA,95640,,"Meat Processing, Poultry Processing","",5,509,Small,3,,true
P17151,M17151 + P17151 + V17151,UW Provision Company,2315 Pleasant View Rd.,Middleton,WI,53562,2005-02-05 00:00:00 UTC,"Meat Processing, Poultry Processing, Voluntary Processing - Meat","",25,2530,Small,2,,false
P17179,P17179,Avenal State Prison,Prison Industry Authority,Avenal,CA,93204,,Poultry Processing,"",5,512,Small,3,,true
P17202A,M17202A + P17202A,Americold Logistics,2900 Murray Street,Sioux City,IA,51111,2020-01-04 00:00:00 UTC,"Meat Processing, Poultry Processing",Americold Farmers,25,2523,Small,4,,true
P17335,M17335 + P17335,Intra Coastal Packing,3222 S. Military Trail,Lake Worth,FL,33463,,"Meat Processing, Poultry Processing","",85,8535,Small,2,,true
P17336,P17336,Royal Poultry,90 LIBERA STREET,CRANSTON,RI,02920,1997-03-03 00:00:00 UTC,Poultry Processing,"",60,6029,Small,2,,true
P17340,P17340,Pilgrim's Pride,2653 State Route 1241,Hickory,KY,42051,,"Poultry Processing, Poultry Slaughter",Country Pride; Just Bare; Pierce Foods; Pilgrim's,90,9006,Large,5,5,true
P17375,M17375 + P17375,E.G. Food,5600 First Ave  B4N,Brooklyn,NY,11220,,Poultry Processing,G G Kosher Food Inc; Satmer Meats Inc,60,6024,Very Small,2,,true
P17395,M17395 + P17395,50th State Poultry,98-715 Kuahao Place,Pearl City,HI,96782,2017-08-03 00:00:00 UTC,"Meat Processing, Poultry Processing","",15,1505,Very Small,3,,true
P17480,M17480 + P17480,Ramar International,539 Garcia Ave,Pittsburg,CA,94565,2015-12-06 00:00:00 UTC,"Meat Processing, Poultry Processing","",5,531,Small,4,,true
P17500,P17500,Pilgrim's Pride,2045 Highway 244,Russellville,AL,35654,,"Poultry Processing, Poultry Slaughter","",90,9010,Large,5,5,true
P17524,M17524 + P17524,Espi's Sausage and Tocino,29 S. Hanford St.,Seattle,WA,98134,,"Meat Processing, Poultry Processing","",15,1526,Very Small,2,,true
P17557,M17557 + P17557,JPI Wholesalers,One Rooster Way,Barry,IL,62312,,"Meat Processing, Poultry Processing",Jones Poultry,50,5007,Very Small,4,,true
P177,P177,Pilgrim's Pride,949 Industrial Blvd.,Gainesville,GA,30503,,"Poultry Processing, Poultry Slaughter",Chris P Chicken; CN (PPC Child Nutri); Country Pride; County Post; Eat Well Stay Healthy; Fryer Kist; GK for the Student; GoldKist; Goldkist; GoldKist Farms; Independence County; Oven Kist; Pierce Foods; PP Select; Ro-Ricos; Rockingham; Shenandoah Valley; Wampler Foods,85,8513,Large,5,5,true
P17734,P17734,Stonewood Farm,105 Griswold Lane,Orwell,VT,05760,,"Poultry Processing, Poultry Slaughter","",60,6003,Very Small,4,3,true
P17751,M17751 + P17751,Chamblee Meats & Supplies,5634-A New Peachtree Road,Chamblee,GA,30341,,"Meat Processing, Poultry Processing","",85,8517,Very Small,2,,true
P17764,M1633 + P17764 + V1633,Abbyland Foods,508 E. Linden Street,Abbotsford,WI,54405,2017-08-12 00:00:00 UTC,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat","Abbyland; Abbyland Foods; Abbyland, Inc.",25,2519,Large,5,3,true
P17764A,M1633A + P17764A,Abbyland Foods,323 Plaza Drive,Curtiss,WI,54422,2017-08-12 00:00:00 UTC,"Meat Processing, Poultry Processing","",25,2519,Small,3,,true
P17778,P17778,ENA Meat Packing,2-8 Warren Street,Paterson,NJ,07524,2009-09-11 00:00:00 UTC,"Poultry Processing, Poultry Slaughter",Senat Poultry LLC,80,8023,Small,3,4,true
P17813,M3535 + P17813,Ashland Cold Storage,1556 W. 43rd Street,Chicago,IL,60609,,"Meat Processing, Poultry Processing","",50,5003,Small,4,,true
P17966,P17966 + V17966,HVFG,80 Brooks Road,Ferndale,NY,12734,2020-07-04 00:00:00 UTC,"Certification - Export, Poultry Processing, Poultry Slaughter, Voluntary Processing - Poultry, Voluntary Slaughter - Poultry",A.G.Y. Corporation; Hudson Valley Duck Farm; Hudson Valley Foie Gras,60,6027,Small,4,4,true
P17967,M17967 + P17967,Los Altos Beef,6717 Alameda Street,Huntington Park,CA,90001,,"Meat Processing, Poultry Processing","",5,535,Small,4,,true
P17980,M17980 + P17980,Pilgrim's Pride,2050 Highway 15 South,Sumter,SC,29150,,"Poultry Processing, Poultry Slaughter","",85,8522,Large,5,5,true
P17990A,M17990A + P17990A,AVA Pork Products,383 West John Street,Hicksville,NY,11802,,"Meat Processing, Poultry Processing","",60,6017,Small,4,,true
P18,P18,Cargill Meat Solutions,135 Huffman Drive,Dayton,VA,22821,2019-08-03 00:00:00 UTC,"Poultry Processing, Poultry Slaughter",Cargill Meat Solutions; Cargill Turkey and Cooked Meats; CARGILL VALUE ADDED MEATS,80,8008,Large,5,5,true
P18123,M1790 + P18123 + V1790,Grecian Delight Foods,1201 Tonne Rd.,Elk Grove Village,IL,60007,2014-10-12 00:00:00 UTC,"Certification - Export, Meat Processing, Poultry Processing",A Pure Mediterranean Foods Company; Arturo's of Chicago; Mayhew Meats,50,5004,Small,4,,true
P18178,M550 + P18178,Sterling Pacific Meat,6114 Scott Way,Commerce,CA,90040,2006-01-06 00:00:00 UTC,"Meat Processing, Poultry Processing","",5,514,Small,4,,true
P18263,M18263 + P18263,Gordo's,1591 Murphy Ave.,Atlanta,GA,30310,,"Meat Processing, Poultry Processing",Kashawa,85,8505,Very Small,1,,true
P18285,P18285,Perdue Foods,2047 Highway 9 West,Dillon,SC,29536,2021-02-07 00:00:00 UTC,"Poultry Processing, Poultry Slaughter",Carolina Fare; Coleman Natural Foods; Draper Valley Farms; Harvestland; Shenandoah; Shoreline Country Corner,85,8522,Large,5,5,true
P18388,M18388 + P18388,Kayem Foods,14 Industrial Parkway,Woburn,MA,01801,,"Meat Processing, Poultry Processing",Al Fresco; Genoa ; McKenzie Natural Artisan Deli,60,6008,Small,3,,true
P18395,M2514 + P18395,Four Star Foods,2420 S. Wood St.,Chicago,IL,60608,,"Meat Processing, Poultry Processing","",50,5002,Small,4,,true
P18414,P18414,MB Consultants,5190  Main Street,South Fallsburg,NY,12779,,"Poultry Processing, Poultry Slaughter",Al-Maaedah; Ambassador Brand; As-Salaam Poultry; DeBragga; Maplecrest; Master Purveyors; Murray's Chicken; Murray's Pride; NEMA; Real Halal; Unique Country; Zabeeha,60,6027,Small,4,5,true
P18438B,P18438B,Dupont Market,2716 E. Miner Avenue,Stockton,CA,95205,,"Poultry Processing, Poultry Slaughter",Grimaud Farms,5,509,Small,3,4,true
P18491,P18491,Eastern Shore Poultry Company,21724 BROAD CREEK AVENUE,GEORGETOWN,DE,19947,,Poultry Processing,"",80,8017,Small,4,,true
P18554,M18554 + P18554,JCG Industries,4404 W. Berteau Ave.,Chicago,IL,60641,2004-11-05 00:00:00 UTC,"Meat Processing, Poultry Processing","Koch Foods Co., Inc.; Koch Poultry Co Inc",50,5002,Large,4,,true
P18554A,M18554A + P18554A,JCG Industries,2153 and 2155 Rose St.,Franklin Park,IL,60131,,"Meat Processing, Poultry Processing",Koch Foods,50,5002,Large,4,,true
P18557,P18557,Sanderson Farms,4039 River Ridge Road,Summit,MS,39666,,"Poultry Processing, Poultry Slaughter",Covington Farms,90,9004,Large,5,5,true
P18578,M18578 + P18578,Kelly's Foods,650 Carter Road,Winter Garden,FL,34787,,Poultry Processing,"",85,8527,Very Small,3,,true
P18596,M18596 + P18596,K&L Ranch,204 Albion Avenue,Paterson,NJ,07502,,"Meat Processing, Poultry Processing",Love Farms LLC - Fed. #45-4924471,80,8023,Small,3,,true
P18600,M18600 + P18600,Greco and Sons,1550 Hecht Drive,Bartlett,IL,60103,,"Meat Processing, Poultry Processing","",50,50,Small,3,,true
P18678,M18678 + P18678 + V18678,Fells Point,2730 Wilmarco Ave.,Baltimore,MD,21223,2017-12-09 00:00:00 UTC,"Animal Foods Inspection, Meat Processing, Poultry Processing",Fells Point Wholesale Meats,80,8014,Small,3,,true
P18726,M18726 + P18726,La Bella Sausage,16170 Aviation Loop Drive,Brooksville,FL,34604,,"Meat Processing, Poultry Processing","",85,8533,Small,3,,true
P1874,M1874 + P1874,Mondo & Sons,1150 Andover Park East,Tukwila,WA,98188,,"Meat Processing, Poultry Processing",Petschl's Quality Meats,15,1526,Small,3,,true
P18743,M18743 + P18743,Olympia Food Industries,9501 Nevada Ave.,Franklin Park,IL,60131,2016-07-06 00:00:00 UTC,"Meat Processing, Poultry Processing","",50,5004,Small,4,,true
P18863,P18863 + V18863,Peco Foods,559 West Main Street,Brooksville,MS,39739,,"Certification - Export, Off-Premise Freezing - Poultry, Poultry Processing, Poultry Slaughter","Peco Farms, Inc.; Peco Foods Inc.; Peco Foods of Mississippi Inc.",90,9024,Small,4,,true
P1887,M1887 + P1887,Marcel's Portion Pak,4111 N.W. 132 St.,Opa-Locka,FL,33054,1983-10-01 00:00:00 UTC,"Meat Processing, Poultry Processing","",85,8535,Very Small,2,,true
P18873,P18873,Tyson Foods,1151 E. Pine Street,Vienna,GA,31092,,"Poultry Processing, Poultry Slaughter","Tyson Farms, Inc.",85,8501,Large,5,5,true
P18895,M18895 + P18895,US Foods,12500 Inglewood Ave,Hawthorne,CA,90250,,"Certification - Export, Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry",FirstClass Foods Inc.,5,535,Small,4,,true
P18978,P18978,Misty Knoll Farms,1685 Main Street,New Haven,VT,05472,2009-09-01 00:00:00 UTC,"Poultry Processing, Poultry Slaughter","",60,6026,Small,3,4,true
P18994,M18994 + P18994,Macsei Industries,1784 E Vernon Ave.,Los Angeles,CA,90058,2001-05-12 00:00:00 UTC,"Meat Processing, Poultry Processing","",5,535,Small,3,,true
P190,M190 + P190 + V190,Jennie-O Turkey Store Sales,34 North 7th Street,Barron,WI,54812,,"Certification - Export, Identification - Poultry, Meat Processing, Poultry Processing, Poultry Slaughter, Voluntary Processing - Poultry, Voluntary Slaughter - Poultry","Festive Brand; Hormel Foods Corporation; Jennie-O; Jennie-O Foods, Inc.; Jennie-O Turkey Store, Inc.; Jerome Foods, Inc.; Jerome's Golden Glo; Norwestern Deli; The Turkey Store, Inc.; West Central Turkey's, LLC",25,2522,Large,5,4,true
P19034,M19034 + P19034,Berk Lombardo Packing,50 Constance Court,Hauppauge,NY,11788,,"Meat Processing, Poultry Processing","",60,6017,Small,3,,true
P19112,P19112,Perdue Foods,489 Cromwell Road,Cromwell,KY,42333,2020-04-12 00:00:00 UTC,"Poultry Processing, Poultry Slaughter",Coleman Natural Foods; Harvestland,90,9002,Large,5,5,true
P19113,M19113 + P19113,Stampede Meat,7351 S. 78th Avenue,Bridge View,IL,60455,,"Meat Processing, Poultry Processing",Carlton Farms; Chef Inside The Box; Chicken Plus USA; Cro-Magnon; Meat Plus USA; Mission Hill Bistro; Pork Plus USA; Silver Birch Farms; Silver Oak; Stampede Meat,50,5006,Large,5,,true
P19113B,M19113B + P19113B,Stampede Meat,"7035 W. 65th Street, Unit B",Bedford Park,IL,60638,,"Meat Processing, Poultry Processing",Carlton Farms; Chef Inside The Box; Chicken Plus USA; Cro-Magnon; Meat Plus USA; Mission Hill Bistro; Pork Plus USA; Silver Birch Farms; Silver Oak; Stampede Meat,50,5006,Small,5,,true
P19128,P19128,Case Farms of North Carolina,330 Pecan Road,Dudley,NC,28333,,"Poultry Processing, Poultry Slaughter",Case Farms,80,8015,Large,5,5,true
P19150,P19150 + V19150,La Belle Farm,504 Stanton Corners Road,Ferndale,NY,12734,,"Certification - Export, Poultry Processing, Poultry Slaughter, Voluntary Processing - Poultry, Voluntary Processing - Rabbit, Voluntary Slaughter - Poultry, Voluntary Slaughter - Rabbit","",60,6027,Small,3,4,true
P19152,P19152 + V19152,Koch Foods,1620  Progress Parkway,Morristown,TN,37813,,"Poultry Processing, Poultry Slaughter","",90,9021,Large,5,,true
P19194,M19194 + P19194,US Foods,4650 West Buckeye Road,Phoenix,AZ,85043,,"Meat Processing, Poultry Processing",Stock Yards Phoenix,5,504,Small,4,,true
P19198,M19198 + P19198,Bakkavor Foods USA,2700 Westinghouse Blvd,Charlotte,NC,28273,2015-08-01 00:00:00 UTC,"Meat Processing, Poultry Processing","",80,80,Small,3,,true
P192,P192,Pilgrim's Pride,3500 Lake Guntersville Park Drive,Guntersville,AL,35976,2021-09-06 00:00:00 UTC,"Poultry Processing, Poultry Slaughter",Gold Kist; Gold Kist Farms; Kirkland's; Pilgrim's,90,9010,Large,5,5,true
P19232,M19232 + P19232 + V19232,Bowman & Landes Turkeys,6490 E. Ross Rd,New Carlisle,OH,45344,2014-02-09 00:00:00 UTC,"Meat Processing, Poultry Processing, Poultry Slaughter","",50,5022,Small,1,3,true
P19378,P19378,Koch Foods,221 Meadow Drive,Cumming,GA,30040,,Poultry Processing,Koch Foods of Cumming,85,8507,Large,5,,true
P19433,M19433 + P19433,Ambassador Meat,2856 Guinotte,Kansas City,MO,64120,2015-09-06 00:00:00 UTC,"Meat Processing, Poultry Processing",Epicurean's Choice Foods; Heartland Fresh Foods,35,3507,Small,3,,true
P19456A,P19456A,Rio Star Foods,3251 West Commerce Street,Dallas,TX,75212,,Poultry Processing,"",40,4024,Small,4,,true
P1947A,M1947A + P1947A,Halpern's Steak and Seafood Company,4175 Davis Creek Court,Kalamazoo,MI,49001,,"Meat Processing, Poultry Processing","",50,5034,Small,4,,true
P1949,P1949,Simmons Prepared Foods,9802 S. Hwy 59,Gentry,AR,72734,,"Poultry Processing, Poultry Slaughter","Simmons Foods, Inc.; Simmons Prepared Foods",35,3518,Large,5,5,true
P19493,M19493 + P19493,Beverly Processing,385 Hardeeville Industrial Park Road,Hardeeville,SC,29927,,"Meat Processing, Poultry Processing","",85,8522,Small,4,,true
P19514,P19514,Tyson Foods,14660  U S Highway 41 South,Robards,KY,42452,,"Poultry Processing, Poultry Slaughter","Aldi (Kirkwood Brand); Costco; Costco (Kirkland); Costco Mexico; Delightful Farms; Food Lion; Giant Eagle; Hanaford; Harris Teeter; Kroger; Kroger (Heritage Farms); Meijer; Prospect Farms; Publix; Safeway; Sam's (Daily Chef); Target (Market Pantry); Tyson ( Spare Time ); Tyson Chicken, Inc.; Wakefern; Wal-mart (Great Value Brand)",90,9006,Large,5,5,true
